ts,event,id,symbol,mode,side,entry_px,sl_px,qty,exit_px,pnl,pnl_r,reason,equity
1758674104,OPEN,ETH/USDT-2025-09-24T00:35:00.707651+00:00,ETH/USDT,moderado,long,4178.113058,4158.67846,0.023934,,,,,
1758679810,OPEN,AVAX/USDT-2025-09-24T02:09:49.978634+00:00,AVAX/USDT,moderado,long,34.120233,33.731809,2.930812,,,,,
1758681021,OPEN,BTC/USDT-2025-09-24T02:30:18.901146+00:00,BTC/USDT,moderado,long,112331.749418,112045.465187,0.00089,,,,,
1758682219,CLOSE,AVAX/USDT-2025-09-24 02:10:10.157382,,,,,,,33.72,-1.371835,-3.531801,SL,
1758682505,CLOSE,BTC/USDT-2025-09-24 02:30:21.715224,,,,,,,112028.83,-0.469395,-0.00164,SL,
1758743627,OPEN,ADA/USDT-2025-09-24T19:53:30.784751+00:00,ADA/USDT,moderado,long,0.824747,0.82069,121.249253,,,,,
1758744857,CLOSE,ADA/USDT-1758744831,,,,,,,0.82,-0.675037,-166.38239,SL,999.3249629719937
1758745205,OPEN,BNB/USDT-2025-09-24T20:19:58.643947+00:00,BNB/USDT,moderado,long,1017.265088,1013.26755,0.098303,,,,,
1758749025,OPEN,ton_usdt-2025-09-24T21:23:23.242012+00:00,ton_usdt,conservador,long,2.83585,2.822428,35.26279,,,,,
1758786316,CLOSE,ton_usdt-1758782315,,,,,,,2.794,-1.57429,-117.289534,SL,997.7506733541172
